Id,SalePrice
1461,124392.93154533546
1462,159802.86944417295
1463,187293.99007909608
1464,199636.581313637
1465,187898.942595662
1466,175137.56280931176
1467,175790.0451911435
1468,166446.1245345088
1469,186479.19344015073
1470,126619.38825276642
1471,188348.62874988315
1472,100250.57398663918
1473,99700.19755974658
1474,148613.43115703427
1475,112210.6857223545
1476,378930.15347221657
1477,257736.50418067392
1478,284809.3431625174
1479,288070.5585282608
1480,488250.537175341
1481,347743.1718489884
1482,212018.3481339003
1483,179076.0101485663
1484,166496.04668784692
1485,183211.641007463
1486,195829.4109428511
1487,343312.7263911082
1488,229344.15769383503
1489,197764.46075018687
1490,232510.8016732898
1491,184600.06497820473
1492,96588.86757738434
1493,180172.61373254017
1494,293425.63076385524
1495,284955.7806144982
1496,235524.16438965956
1497,182387.94608684067
1498,168612.6120395158
1499,161726.0610641406
1500,158723.050571822
1501,180765.24942565584
1502,142159.92698535844
1503,287327.65060221724
1504,242382.2496024599
1505,224879.95004784717
1506,196999.2524220029
1507,246046.49123992433
1508,203178.043222927
1509,164026.67305820715
1510,146651.2067133854
1511,151994.19128634085
1512,181287.45188897947
1513,144869.58731783094
1514,150489.2698577072
1515,191102.4844320599
1516,149351.44755102278
1517,163354.52626219668
1518,131486.3672047497
1519,214679.87237089637
1520,135627.29881285338
1521,139646.80637512257
1522,176804.97997223734
1523,117636.4233304911
1524,128940.96473453144
1525,119732.59332385079
1526,109474.72527246973
1527,107920.43082776977
1528,139754.67126809
1529,156920.08724304673
1530,178074.75471840522
1531,112945.0192435746
1532,93245.83665087124
1533,149596.66799525803
1534,126517.6888803387
1535,154506.4283121958
1536,109069.37920556687
1537,62033.6176462737
1538,153697.6801927562
1539,195455.79732534423
1540,97136.26015463388
1541,146165.6414129079
1542,142113.70530875615
1543,198467.69178192763
1544,87260.72812973215
1545,111945.95184384684
1546,130052.32273093575
1547,130301.26435021899
1548,141401.20630210012
1549,122693.64754425234
1550,134622.39235565893
1551,109017.98856509115
1552,142903.70682525868
1553,151444.64273082337
1554,120126.20767549067
1555,168702.12303524552
1556,84737.60793321581
1557,107248.69624984926
1558,102571.67410370633
1559,77569.45679158645
1560,127847.5730197425
1561,129144.67740652028
1562,124697.92869497885
1563,120372.79254521779
1564,160708.12465958015
1565,149795.05572555377
1566,239615.1326646472
1567,78192.92333026195
1568,240478.74185974232
1569,135519.98027865036
1570,141664.30028485338
1571,127834.83626888126
1572,145967.47078423382
1573,252668.89874793217
1574,115485.00444984817
1575,226659.21239232703
1576,239156.19302858025
1577,185846.52427981343
1578,141074.64131777812
1579,151206.47512503088
1580,193886.39173689892
1581,155404.23928945715
1582,123917.97132293475
1583,308718.1376147456
1584,222543.85260263155
1585,139598.25906896748
1586,69256.09801363973
1587,100418.88148963716
1588,161498.38784059696
1589,94480.74333501159
1590,136927.12694594378
1591,95899.95514384349
1592,117643.56617387962
1593,121210.59465963072
1594,128215.29187574555
1595,108337.41643986313
1596,232230.70903115932
1597,189448.5695169678
1598,221015.18082177083
1599,164863.0899015941
1600,159620.63737938623
1601,62551.60278348887
1602,114858.48046083133
1603,73435.1188047243
1604,263326.51756435726
1605,238702.89309459308
1606,177719.50597416723
1607,175825.5194466598
1608,211627.28069803517
1609,187112.95203055965
1610,158423.63198543873
1611,138558.23704691854
1612,171253.98552787842
1613,163892.1275654023
1614,124171.89037499043
1615,95262.35231572465
1616,81125.1169694305
1617,92090.69169944244
1618,125185.41341954493
1619,140144.21918532005
1620,159365.53476592293
1621,143506.9641649793
1622,150448.9850432955
1623,257631.76359524424
